2016-12-03 02:25:48.416510: step 0, loss = 13.96, accu = 0.27, validation: 0.30 (10.4 examples/sec; 12.310 sec/batch)
2016-12-03 02:25:51.252811: step 10, loss = 13.81, accu = 0.39, validation: 0.38 (601.3 examples/sec; 0.213 sec/batch)
2016-12-03 02:25:53.341167: step 20, loss = 13.64, accu = 0.48, validation: 0.41 (634.4 examples/sec; 0.202 sec/batch)
2016-12-03 02:25:55.335126: step 30, loss = 13.54, accu = 0.41, validation: 0.46 (611.6 examples/sec; 0.209 sec/batch)
2016-12-03 02:25:57.484776: step 40, loss = 13.41, accu = 0.47, validation: 0.52 (611.2 examples/sec; 0.209 sec/batch)
2016-12-03 02:25:59.589091: step 50, loss = 13.19, accu = 0.51, validation: 0.48 (606.4 examples/sec; 0.211 sec/batch)
2016-12-03 02:26:01.697850: step 60, loss = 13.28, accu = 0.41, validation: 0.45 (602.9 examples/sec; 0.212 sec/batch)
2016-12-03 02:26:03.841038: step 70, loss = 12.92, accu = 0.61, validation: 0.60 (618.0 examples/sec; 0.207 sec/batch)
2016-12-03 02:26:05.971560: step 80, loss = 12.87, accu = 0.52, validation: 0.46 (572.6 examples/sec; 0.224 sec/batch)
2016-12-03 02:26:08.079276: step 90, loss = 12.79, accu = 0.54, validation: 0.59 (601.1 examples/sec; 0.213 sec/batch)
2016-12-03 02:26:10.224770: step 100, loss = 12.75, accu = 0.50, validation: 0.63 (583.5 examples/sec; 0.219 sec/batch)
2016-12-03 02:26:12.437771: step 110, loss = 12.67, accu = 0.45, validation: 0.55 (590.5 examples/sec; 0.217 sec/batch)
2016-12-03 02:26:14.558475: step 120, loss = 12.54, accu = 0.54, validation: 0.49 (631.6 examples/sec; 0.203 sec/batch)
2016-12-03 02:26:16.698095: step 130, loss = 12.39, accu = 0.53, validation: 0.55 (587.0 examples/sec; 0.218 sec/batch)
2016-12-03 02:26:18.838244: step 140, loss = 12.25, accu = 0.60, validation: 0.55 (547.3 examples/sec; 0.234 sec/batch)
2016-12-03 02:26:21.071591: step 150, loss = 12.10, accu = 0.63, validation: 0.59 (593.1 examples/sec; 0.216 sec/batch)
2016-12-03 02:26:23.262948: step 160, loss = 12.11, accu = 0.55, validation: 0.57 (588.0 examples/sec; 0.218 sec/batch)
2016-12-03 02:26:25.424704: step 170, loss = 12.05, accu = 0.55, validation: 0.52 (614.4 examples/sec; 0.208 sec/batch)
2016-12-03 02:26:27.571705: step 180, loss = 11.84, accu = 0.61, validation: 0.60 (617.7 examples/sec; 0.207 sec/batch)
2016-12-03 02:26:29.783811: step 190, loss = 11.91, accu = 0.56, validation: 0.56 (580.7 examples/sec; 0.220 sec/batch)
2016-12-03 02:26:31.861371: step 200, loss = 11.81, accu = 0.52, validation: 0.57 (603.6 examples/sec; 0.212 sec/batch)
2016-12-03 02:26:34.330448: step 210, loss = 11.65, accu = 0.56, validation: 0.60 (591.7 examples/sec; 0.216 sec/batch)
2016-12-03 02:26:36.499579: step 220, loss = 11.51, accu = 0.59, validation: 0.52 (638.0 examples/sec; 0.201 sec/batch)
2016-12-03 02:26:38.648837: step 230, loss = 11.47, accu = 0.56, validation: 0.53 (575.4 examples/sec; 0.222 sec/batch)
2016-12-03 02:26:40.835752: step 240, loss = 11.42, accu = 0.56, validation: 0.55 (563.9 examples/sec; 0.227 sec/batch)
2016-12-03 02:26:43.027366: step 250, loss = 11.28, accu = 0.63, validation: 0.59 (600.2 examples/sec; 0.213 sec/batch)
2016-12-03 02:26:45.212842: step 260, loss = 11.23, accu = 0.58, validation: 0.62 (581.1 examples/sec; 0.220 sec/batch)
2016-12-03 02:26:47.389264: step 270, loss = 11.25, accu = 0.52, validation: 0.52 (564.1 examples/sec; 0.227 sec/batch)
2016-12-03 02:26:49.531694: step 280, loss = 11.08, accu = 0.62, validation: 0.53 (610.9 examples/sec; 0.210 sec/batch)
2016-12-03 02:26:51.680218: step 290, loss = 10.93, accu = 0.59, validation: 0.60 (609.2 examples/sec; 0.210 sec/batch)
2016-12-03 02:26:53.848217: step 300, loss = 10.90, accu = 0.62, validation: 0.59 (590.3 examples/sec; 0.217 sec/batch)
2016-12-03 02:26:56.097430: step 310, loss = 10.87, accu = 0.55, validation: 0.55 (618.0 examples/sec; 0.207 sec/batch)
